furniture_classes-10000001,ハロウィン
furniture_classes-30000014,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000015,コンビニ
furniture_classes-20000015,24時間営業のコンビニは人類の文明の基盤。激しい戦火の中でも心温まる慰めとなり、コンビニが営業してさえいれば、すべてはまあ何とかなる。ゆえに思いがけず、各グリフィン支部で最も厳重に守られているのがコンビニとなっている。
furniture_classes-30000015,
furniture_classes-10000016,雪のドーム
furniture_classes-20000016,極地を思わせる家具セット。原始的なデザインが多用されている。モフモフの動物たちもとってもプリティ。
furniture_classes-30000016,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000300,ポスター
furniture_classes-20000300,スキンパック付録のポスター
furniture_classes-30000300,
furniture_classes-10000017,春節
furniture_classes-20000017,春節をテーマにした家具セット。遠い昔から連なる我々の血筋に誇りと謙遜を持って、賑やかで喜びいっぱいの新春らしい雰囲気に一緒に浸りましょう！
furniture_classes-30000017,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000019,エリートエンブレム
furniture_classes-20000019,グリフィン精鋭部隊のエンブレム。作戦で積極的に活躍した指揮官だけに授与される。これを見ると、彼女たちと肩を並べて戦った貴重な日々が脳裏によみがえるかも？
furniture_classes-30000019,たくさん集めると、快適度を追加獲得。
furniture_classes-10000018,ゲーム製作部
furniture_classes-20000018,皆さんにお馴染みのIOPマニュファクチュアリング。旗下の産業は多くの分野に及んでいます。いま注目を集めている、モバイルプラットフォームのゲーム開発に進出していたのは意外でもありませんが、彼らは早くもこの業界の厳しさに気づいたようです。
furniture_classes-30000018,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000021,星夜の夢
furniture_classes-20000021,バレンタインデーがテーマの家具セット。他人の夢の中で生きることと、自分の物語の主人公になること、どちらが幸せなんだろう。
furniture_classes-30000021,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000022,春の教室
furniture_classes-20000022,教室がテーマの家具セット。逃げ出したくなるにしろ、昔を懐かしく思い出すにしろ、あなた自身のストーリーを往日の風景から始めませんか？
furniture_classes-30000022,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000023,休日散歩
furniture_classes-20000023,街角がテーマの家具セット。ロマンチックな休暇を過ごすなら、その日あなたは誰と出会いたい？
furniture_classes-30000023,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000024,博物館の道
furniture_classes-20000024,博物館がテーマの家具セット。衝撃でも熟考でも、この世界の中心であなた自身のパフォーマンスを続けてください。
furniture_classes-30000024,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000025,メトロ2063
furniture_classes-20000025,地下鉄がテーマの家具セット。かつては文明の中心だった地下鉄に身を置き、すれ違いの人生に思いを馳せよう
furniture_classes-30000025,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000026,いつもの部室
furniture_classes-20000026,部活動がテーマの家具セット。忙しい日々の中にも、かけがえのない思い出は溢れている。どれも大切にし、心に刻もう
furniture_classes-30000026,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000400,付属施設設備
furniture_classes-20000400,
furniture_classes-30000400,
furniture_classes-10000299,ペット
furniture_classes-20000299,
furniture_classes-30000299,
furniture_classes-10000020,記念
furniture_classes-20000020,
furniture_classes-30000020,
furniture_classes-10000027,都会の撮影スタジオ
furniture_classes-20000027,良いスタジオには、経験あるベテランのカメラマンの差配により、文句なしの専門設備がきちんと備わっているもの。そこで撮られた写真は、少女たちの自撮り写真よりもよほど素晴らしい。
furniture_classes-30000027,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000028,月影の舞踏会
furniture_classes-20000028,1周年のお祝いで盛大に開かれたダンスパーティーでは、武装を解いた戦術人形たちの美しい姿が見られます。この短い平和な時間を楽しんでくださいね、指揮官。
furniture_classes-30000028,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000029,童心園
furniture_classes-20000029,子供のおもちゃがテーマの家具セット。かつてはここが世界のすべてでした。それは時間の経過とともに小さくなっても、永遠に消えはしないでしょう。
furniture_classes-30000029,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000030,キャンデイタウン
furniture_classes-20000030,キャンディがテーマの家具セット。夢の中のキャンデイタウンへようこそ！でも、後から来るゲストのために、あまりたくさん食べ過ぎないでね。
furniture_classes-30000030,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000031,幻想遺産
furniture_classes-20000031,各種の不思議なイベントで手に入れた貴重な記念品。この世では発生していないといわれているかもしれませんが、確かに私たちの心の中に存在しています……//n
furniture_classes-30000031,
furniture_classes-10000301,シークレットポスター
furniture_classes-20000301,他サーバーのために準備されたもの。未開放のポスターが入っている。
furniture_classes-30000301,
furniture_classes-10000032,海辺のコテージ
furniture_classes-20000032,海辺の休憩小屋がテーマの家具セット。海辺のコテージというのは単なる愛称だよ。誰もがより豪華な休暇を過ごしたいでしょ？
furniture_classes-30000032,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000033,眩いビーチ
furniture_classes-20000033,砂浜がテーマの家具セット。ここのすべてをできる限り楽しんでください。今の人類には、こんな機会は本当に貴重なんですから。
furniture_classes-30000033,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000034,ソウルへ
furniture_classes-20000034,韓国の都市がテーマの家具セット。そこに座り、思い出から湧き上がる新たな旋律を静かに鑑賞しましょう。
furniture_classes-30000034,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000035,温泉街
furniture_classes-20000035,日本の温泉街がテーマの家具セット。あったか～い温泉に浸かり、懐かしい歌でも唄ってみては？
furniture_classes-30000035,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000036,酒と避難所
furniture_classes-20000036,シェルターがテーマの家具セット。汚染エリアに駐在している人形は、人間のかつての文明に興味津々。遺物を集めて、彼らの暮らしを真似してるんです。
furniture_classes-30000036,
furniture_classes-10000500,人形の思い出話
furniture_classes-20000500,人形たちの様々なイベントで手に入る記念品。お互いのものや、指揮官のものと色々だが、どれも永遠にメンタルモデルに記録される貴重な思い出。//n
furniture_classes-30000500,
furniture_classes-10000037,大図書館
furniture_classes-20000037,大図書館がテーマの家具セット。グリフィンの秘密の読書クラブのドアが開かれました。ここには人間が残した格言に対する人形たちの貴重な感想が記録されています！
furniture_classes-30000037,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000038,深夜食堂
furniture_classes-20000038,食堂がテーマの家具セット。人形たちはここへ連れ立ってやって来て、あれやこれやして帰ります。後には心がほっこりするお話が残ることも……たまーにですけどね。
furniture_classes-30000038,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000039,ハロウィンタウン
furniture_classes-20000039,ハロウィンタウンがテーマの家具セット。見たいものを見終わったら、全力で逃げましょう。でなければ……いや、何も問題はありません、住み着いて慣れてしまえば。
furniture_classes-30000039,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000040,花房のお茶会
furniture_classes-20000040,原野の中の温室がテーマの家具セット。「愛されたいと願うときには、名もない花を愛しましょう。」
furniture_classes-30000040,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000041,キングステーラー
furniture_classes-20000041,キングステーラーがテーマの家具セット。任務を受けたら、それをきっちり遂行する。世界の平和を守るのはこんなに簡単なことなんだ。
furniture_classes-30000041,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000042,トップガン
furniture_classes-20000042,航空機」がテーマの家具セット。私たちが空を征服しようと試みて以来、互いの戦いがずっと続いている。ここにあるのは、そのすべての記録。
furniture_classes-30000042,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000043,发薪日
furniture_classes-20000043,地下银行为主题的家具组合，只是个装饰用的主题，即使身无分文的人形也可以在里面为所欲为，别呆太久，也别当真。
furniture_classes-30000043,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000044,圣诞小屋
furniture_classes-20000044,圣诞小屋为主题的家具组合，在充满民族风情的小房间中，尽情享受节日的温馨与同伴的喜悦吧！
furniture_classes-30000044,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000045,海盗遗产
furniture_classes-20000045,海盗船舱为主题的家具组合，这属于几百年前一部分人的生活，在漂泊中享乐、争斗然后活着或死去，和现在的人一样。
furniture_classes-30000045,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000046,像素森林
furniture_classes-20000046,像素森林为主题的家具组合，开始一场宏大的冒险吧！就算他人眼中这只是小孩子的游戏……难道小孩子不是最让人羡慕的吗？
furniture_classes-30000046,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000047,单车日记
furniture_classes-20000047,以自行车和摩托车店为主题的家具组合，每个人都有至少一个瞬间想去远方，除了诗，你还需要它，和买下它们的钞票。
furniture_classes-30000047,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000048,关东往事
furniture_classes-20000048,雪中新年为主题的家具组合，大地上曾有一群人，生活的全部都是为了这一声“过年好”，所以享受其中吧，趁一切还未老去。
furniture_classes-30000048,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000049,梯队收藏
furniture_classes-20000049,以御宅族收藏品为主题的家具组合，无论是更硬派还是更可爱的收藏品，这是你独一无二的爱好，人生中最属于自己的宝贵部分。
furniture_classes-30000049,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000050,婚礼现场
furniture_classes-20000050,婚礼拍摄现场为主题的家具组合，如你所见，只是个拍摄现场……影片、仪式、生活，什么又是真实的？
furniture_classes-30000050,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000052,游鱼飞雁
furniture_classes-20000052,民俗庭园为主题的家具组合，在幽静清雅的庭园中享受人生吧，尤其是这样的夜晚并不便宜。
furniture_classes-30000052,揃えると宿舍内で思いも寄らぬ現象が起きる。
furniture_classes-10000053,漫展风波
furniture_classes-20000053,以动漫展会为主题的家具组合，如果人形提前五十年出现在世上会是什么景象？集齐这一切你就会知道啦。
furniture_classes-30000053,同一宿舍内に8点を設置すると、快適度を追加獲得。
furniture_classes-10000054,周六夜狂欢
furniture_classes-20000054,以二周年纪念狂欢为主题的家具组合，并不是只有今晚可以庆祝，但是明晚，我们能否知道自己会在哪里呢？
furniture_classes-30000054,揃えると宿舍内で思いも寄らぬ現象が起きる。
