furniture_classes-10000001,핼러윈
furniture_classes-30000021,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000022,봄날의 교실
furniture_classes-20000022,교실을 주제로 한 가구세트입니다. 도망치고 싶던지 추억에 잠기던지//c 지난날의 풍경 속에서 당신의 이야기를 시작해보는 거예요!
furniture_classes-30000022,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000023,휴일의 산책
furniture_classes-20000023,거리의 풍경을 주제로 한 가구 세트로//c 휴일의 한 때를 누리는 낭만적인 기분이 들죠. 혹시//c 이런 날에는 누군가와 우연히 마주치고 싶다는 생각을 하고 계신가요?
furniture_classes-30000023,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000024,만물박사가 되는 길
furniture_classes-20000024,박물관을 주제로 한 가구세트로//c 굉장히 심오하고 많은 것을 생각하게 돼요. 부디 당신이 이 세계를 계속 가꿔 나가주세요.
furniture_classes-30000024,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000025,지하철2063
furniture_classes-20000025,지하철 테마의 가구세트로//c 옛 문명 속에서 그들의 바쁜 삶을 엿볼 수있어요.
furniture_classes-30000025,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000026,이색 동아리
furniture_classes-20000026,동아리 활동 테마의 가구세트로 바쁜 생활 속에서 잊혀져가는 추억이죠…소중한 기억들이라구요!
furniture_classes-30000026,한 숙소 내에 8개의 가구를 배치하여 추가 안락도를 획득 할 수 있어요.
furniture_classes-10000400,부속실 설비
furniture_classes-20000400,
furniture_classes-30000400,
furniture_classes-10000299,애완동물
furniture_classes-20000299,
furniture_classes-30000299,
furniture_classes-10000020,기념
furniture_classes-20000020,
furniture_classes-30000020,
furniture_classes-10000027,도심속 촬영장
furniture_classes-20000027,일종의 촬영 스튜디오로//c 감독의 지휘 아래 각종 전문 설비들이 바쁘게 움직이며 찍어내는 사진들은//c미소녀들이 찍는 셀카에 필적한다고 하네요.
furniture_classes-30000027,동일 숙소내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000028,달빛 무도회
furniture_classes-20000028,1주년을 기념하기 위해 열린 큰 파티로//c 오랜만에 전술소녀들이 무장을 해제하고 아름다운 자태를 뽐내고 있습니다. 이 짧은 평화를 만끽하는 게 좋을 거예요. 지휘관님.
furniture_classes-30000028,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000029,아이들 세상
furniture_classes-20000029,아이들의 장난감을 테마로 한 가구세트로//c 이곳은 이미 세계의 축소판입니다. 비록 세월이 지나며 많이 작아졌지만//c 영원불멸하겠죠.
furniture_classes-30000029,동일 숙소내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000030,과자마을
furniture_classes-20000030,과자를 테마로 한 가구세트로//c 환상의 과자나라에 온 것을 환영합니다! 하지만//c 나중에 올 여행객을 위해 너무 많이 드시면 안돼요!
furniture_classes-30000030,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000031,환상의 유산
furniture_classes-20000031,여러가지 기이한 사건 속에서 얻어낸 진귀한 기념물입니다. 아마도 전설과도 같은 이야기로 전해지겠지만//c 진실은 여러분들의 마음 속에 남아있겠지요...//n
furniture_classes-30000031,
furniture_classes-10000301,히든 포스터
furniture_classes-20000301,감춰두려 했지만 결국 들어오고 말았다.
furniture_classes-30000301,
furniture_classes-10000032,바닷가 별장
furniture_classes-20000032,바닷가의 휴게실을 테마로한 가구 세트로//c 바닷가 별장은 사랑스러운 애칭이랍니다. 어라//c 더욱 멋진 휴가를 원하지 않는 사람이 과연 있으려나요?
furniture_classes-30000032,동일 숙소내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000033,황금빛 백사장
furniture_classes-20000033,황금빛 백사장을 테마로한 가구 세트로//c 인류에게 이런 기회는 둘도 없으니//c 지금을 이 순간을 만끽하는 게 좋아요.
furniture_classes-30000033,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000034,서울에 가다
furniture_classes-20000034,한국 도시를 테마로한 가구 세트로//c 가만히 앉아서 추억 속의 신선한 선율을 즐겨보세요.
furniture_classes-30000034,동일 숙소내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000035,온천을 즐기다
furniture_classes-20000035,일본의 온천을 테마로한 가구 세트로//c 따스한 온천물에 몸을 담그고 옛 노래를 즐겨 보세요.
furniture_classes-30000035,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000036,술과 피난처
furniture_classes-20000036,피난처를 테마로한 가구 세트로//c 오염구역을 지키는 인형들은 인류의 옛 문명에 큰 호기심을 가지고 있어서 유물들을 수집하여 인류의 생활을 따라해보기도 한답니다.
furniture_classes-30000036,
furniture_classes-10000500,인형 이야기
furniture_classes-20000500,인형들의 다양한 사건들 속에서 얻은 기념품으로//c 인형들에게나//c 지휘관에게나 기억 속에 영원히 간직할 소중한 추억들이에요.//n
furniture_classes-30000500,
furniture_classes-10000037,대도서관
furniture_classes-20000037,도서관을 테마로한 가구 세트로//c 그리폰의 비밀 독서회는 여러분을 환영합니다! 이곳에서 인형들은 인류의 독서를 권장하는 격언에 대한 귀중한 감상을 기록하고 있어요!
furniture_classes-30000037,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000038,심야 주방
furniture_classes-20000038,주방을 테마로한 가구 세트로//c 인형들은 여기서 짝을 이뤄 분주하게 일하고//c 따뜻한 추억들을 하나씩 안고 돌아가겠죠......가끔씩은.
furniture_classes-30000038,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000039,핼러윈 타운
furniture_classes-20000039,핼러윈 타운을 테마로한 가구 세트로//c 보이는 모든 걸 조사하며 이곳을 빠져나가기 위해 노력하세요. 그렇지 않으면...뭐//c 익숙해진다면 아무 문제 없겠지만요.
furniture_classes-30000039,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000040,화원 다과회
furniture_classes-20000040,초원 위의 화원을 테마로 한 가구 세트로//c "사랑받고 싶어질 땐//c 먼저 이름 없는 꽃들을 사랑해 주세요!" 
furniture_classes-30000040,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000041,왕의 재단사
furniture_classes-20000041,비밀 요원 양복점을 테마로 한 가구 세트로//c 임무를 받고//c 우아하게 완수한다. 세계 평화를 지키는 것...꽤나 간단하죠?
furniture_classes-30000041,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000042,탑 건
furniture_classes-20000042,항공 설비를 테마로한 가구 세트로//c 우리는 하늘을 정복했고//c 구름 저 너머도 정복했어요. 그리고 여기에 그 모든 걸 남겼죠.
furniture_classes-30000042,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000043,월급날
furniture_classes-20000043,지하은행을 테마로한 가구 세트로//c 인테리어용 가구일 뿐이지만 욕심이 없는 인형조차 여기에선 안심할 수 없으니 오래 머물지 말고//c 너무 믿지도 마세요.
furniture_classes-30000043,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000044,크리스마스의 작은 방
furniture_classes-20000044,크리스마스의 작은 방을 테마로한 가구 세트로//c 에스닉 분위기가 물씬 풍가는 작은 방 안에서 동료와 함께 기념일의 따스함과 기쁨을 만끽하세요!
furniture_classes-30000044,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000045,해적의 유산
furniture_classes-20000045,해적선을 테마로 한 가구 세트로//c 수백 년 전 일부 사람들에게는 인생이었죠. 그들은 표류하는 것을 즐겼고//c 치열한 싸움 속에서 죽거나 살거나 했답니다. 마치 요즘 사람들처럼요.
furniture_classes-30000045,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000046,픽셀의 숲
furniture_classes-20000046,픽셀의 숲을 테마로한 가구 세트로//c 장대한 모험을 시작하는 거예요! 다른 사람 눈에는 그저 애들 놀이로 보일지 모르지만... 설마 다 큰 어른이 애들을 부러워하는 건 아니시죠?
furniture_classes-30000046,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000047,사이클 다이어리
furniture_classes-20000047,자전거와 오토바이를 테마로한 가구 세트로//c 누구나 한 번쯤은 저멀리 떠나고 싶어질 때가 있어요.그럴 때 필요한 게 바로 여기 있는 것들과//c 이것들을 사기위한 돈이죠.
furniture_classes-30000047,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000048,차이나타운의 설
furniture_classes-20000048,눈이 오는 설날을 테마로한 가구 세트로//c 우리에게는 차이나타운의 풍경이지만//c 그들에게는 코리아타운의 풍경이기도 하죠. 두 문화의 교착점이기도 한 이 풍경을 감상해 주세요.
furniture_classes-30000048,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000049,그리폰 컬렉터
furniture_classes-20000049,마니아들의 컬렉션을 테마로한 가구 세트로//c 하드한 소장품이든 소프트한 소장품이든//c 당신에게는 더없이 소중한 취미이며//c 인생을 살아가는 데 있어 귀중한 부분이에요.
furniture_classes-30000049,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000050,결혼식장
furniture_classes-20000050,웨딩 촬영장을 테마로한 가구 세트로//c 보다시피 그저 촬영장일 뿐이지만...... 어차피 영상이든 예식이든 삶이든 전부 진실됨과 동시에 허황되기도 한 것이 아닐까요?
furniture_classes-30000050,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000052,전통적인 풍경
furniture_classes-20000052,민속 정원을 테마로한 가구 세트로//c 고요하고 청아한 정원에서 인생을 즐기는 거예요//c 특히 이런 밤은 결코 저렴하지 않다구요.
furniture_classes-30000052,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000053,소란스러운 코믹콘
furniture_classes-20000053,코믹콘 테마의 가구세트로//c 만약 전술인형이 50년 전 세상에 출현했으면 어떤 모습이었을까요? 이 가구들을 모으면 알게 될 거에요.
furniture_classes-30000053,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
furniture_classes-10000054,SATURDAY NIGHT FEVER
furniture_classes-20000054,글로벌 2주년 파티 테마 가구로//c 오늘 밤만 즐길 수 있는 것은 아니지만//c 과연 내일 우리가 어디서 깨어날 지 아무도 모를걸요~
furniture_classes-30000054,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000055,놀이동산의 진수
furniture_classes-20000055,놀이동산을 주제로 한 가구세트입니다. 값싼 팝콘과 스릴 넘치는 롤러코스터만으로도 즐거워질 수 있죠. 우선 올 때부터 즐거워야 하지만요. 
furniture_classes-30000055,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000056,트로피컬 하우스
furniture_classes-20000056,해변 호텔을 주제로 한 가구 세트입니다. 어쩌면 당신도 이런 호텔에서 깨어나 불편해도 안락한 아침을 즐기고 싶겠죠.
furniture_classes-30000056,가구세트를 모아 숙소에 배치하면 특별한 일들이 일어납니다.
furniture_classes-10000057,행복 출발역
furniture_classes-20000057,공항 탑승구를 주제로 한 가구 세트입니다. 비행기가 도착할 때까지의 시간을 체험해 보세요//c 얼마 안 지나 멀어질 광경이니까요//c 물리적으로.
furniture_classes-30000057,동일 숙소 내에 8개의 가구를 배치하여 추가 안락도 획득.
