furniture_classes-10000001,ハロウィン
furniture_classes-20000012,涼しげな和風がテーマの家具セットで、寒い冬でも人々の心を落ち着かせてくれる。部屋の中から一面の銀世界を楽しもう。
furniture_classes-30000012,同一宿舍内に6点以上設置すると、追加快適度を獲得。
furniture_classes-10000013,鉄血工造
furniture_classes-20000013,鉄血工造がテーマの家具セット。鉄血の関連資料から再現・考案された家具で、人形たちに鉄血のクズどもの昼下がりを体験させてあげましょう。
furniture_classes-30000013,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000014,クリスマス
furniture_classes-20000014,クリスマスがテーマの家具セット。盛大なパーティーを開いて温かく幸せなクリスマスイブを楽しもう！……ほら、人形たちが何やら歌っていますよ？
furniture_classes-30000014,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000015,コンビニ
furniture_classes-20000015,24時間営業のコンビニは人類の文明の基盤。激しい戦火の中でも心温まる場所として、コンビニさえ営業していれば、すべてはまだ何とかなる。ゆえに思いがけず、各々のグリフィン支部で最も厳重に守られているのがコンビニだったりする。
furniture_classes-30000015,
furniture_classes-10000016,雪のドーム
furniture_classes-20000016,極地を思わせる家具セット。民族風のデザインが多く、モフモフの動物たちもとってもプリティ。
furniture_classes-30000016,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000300,ポスター
furniture_classes-20000300,スキンパック付録のポスター
furniture_classes-30000300,
furniture_classes-10000017,旧正月の夜
furniture_classes-20000017,春節がテーマの家具セット。遠い昔から連なる我々の血筋に誇りと謙遜を持って、賑やかで喜びいっぱいの新春らしい雰囲気に一緒に浸りましょう！
furniture_classes-30000017,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000019,エリートエンブレム
furniture_classes-20000019,グリフィン精鋭部隊のエンブレム。作戦で積極的に活躍した指揮官だけに授与される。これを見ると、彼女たちと肩を並べて戦った貴重な日々が脳裏によみがえるかも？
furniture_classes-30000019,たくさん集めると、快適度を追加獲得。
furniture_classes-10000018,ゲーム製作部
furniture_classes-20000018,皆さんお馴染みのIOPマニュファクチュアリング。旗下の産業は多くの分野に及んでいます。いま注目を集めている、モバイルプラットフォームのゲーム開発への進出には驚きませんが、彼らは早くもこの業界の厳しさに気づいたようです。
furniture_classes-30000018,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000021,星夜の夢
furniture_classes-20000021,バレンタインデーがテーマの家具セット。他人の夢の中で生きることと、自分の物語の主人公になること、どちらが幸せなんだろう。
furniture_classes-30000021,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000022,春の教室
furniture_classes-20000022,教室がテーマの家具セット。逃げ出したくなるにしろ、昔を懐かしく思い出すにしろ、あなた自身のストーリーを往日の風景から始めませんか？
furniture_classes-30000022,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000023,休日のお散歩
furniture_classes-20000023,街角がテーマの家具セット。ロマンチックな休暇を過ごすなら、その日あなたは誰と出会いたい？
furniture_classes-30000023,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000024,博物館
furniture_classes-20000024,博物館がテーマの家具セット。戦慄するにせよ、熟考するにせよ、この世界の中心であなた自身のパフォーマンスを続けてください。
furniture_classes-30000024,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000025,メトロ2063
furniture_classes-20000025,地下鉄がテーマの家具セット。かつては文明の中心だった地下鉄に身を置き、すれ違いの人生に思いを馳せよう。
furniture_classes-30000025,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000026,いつもの部室
furniture_classes-20000026,部活動がテーマの家具セット。忙しい日々の中にも、かけがえのない思い出は溢れている。どれも大切にし、心に刻もう！
furniture_classes-30000026,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000400,付属施設設備
furniture_classes-20000400,
furniture_classes-30000400,
furniture_classes-10000299,ペット
furniture_classes-20000299,
furniture_classes-30000299,
furniture_classes-10000020,記念
furniture_classes-20000020,
furniture_classes-30000020,
furniture_classes-10000027,都会の撮影スタジオ
furniture_classes-20000027,良いスタジオには、経験あるベテランのカメラマンの差配により、文句なしの専門設備がきちんと備わっているもの。そこで撮られた写真は、少女たちの自撮り写真よりもよほど素晴らしい。
furniture_classes-30000027,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000028,月影の舞踏会
furniture_classes-20000028,1周年のお祝いで盛大に開かれたダンスパーティーでは、武装を解いた戦術人形たちの美しい姿が見られます。この短い平和な時間を楽しんでくださいね、指揮官。
furniture_classes-30000028,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000029,童心園
furniture_classes-20000029,子供のおもちゃがテーマの家具セット。かつてはここが世界のすべてでした。そこは時間の経過とともに小さくなっても、永遠に消えることはないでしょう。
furniture_classes-30000029,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000030,キャンディタウン
furniture_classes-20000030,キャンディがテーマの家具セット。夢の中のキャンディタウンへようこそ！でも、後から来るお客さんのために、あまり一気にたくさん食べ過ぎないでね。
furniture_classes-30000030,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000031,幻想遺産
furniture_classes-20000031,各種の不思議なイベントで手に入れた貴重な記念品。この世では発生していないといわれているかもしれませんが、確かに私たちの心の中に存在しています……//n
furniture_classes-30000031,
furniture_classes-10000301,シークレットポスター
furniture_classes-20000301,他サーバーのために準備されたもの。未開放のポスターが入っている。
furniture_classes-30000301,
furniture_classes-10000032,海辺のコテージ
furniture_classes-20000032,海辺の休憩小屋がテーマの家具セット。海辺のコテージというのは単なる愛称だよ。誰もがより豪華な休暇を過ごしたいでしょ？
furniture_classes-30000032,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000033,眩いビーチ
furniture_classes-20000033,砂浜がテーマの家具セット。ここのすべてをできる限り楽しんでください。今の人類には、こんな機会は本当に貴重なんですから。
furniture_classes-30000033,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000034,ソウルへ
furniture_classes-20000034,韓国の都市がテーマの家具セット。そこに座り、思い出から湧き上がる新たな旋律を静かに鑑賞しましょう。
furniture_classes-30000034,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000035,温泉街
furniture_classes-20000035,日本の温泉街がテーマの家具セット。あったか～い温泉に浸かり、懐かしい歌でも唄ってみては？
furniture_classes-30000035,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000036,酒と避難所
furniture_classes-20000036,シェルターがテーマの家具セット。汚染エリアに駐在している人形たちは、人間のかつての文明に興味津々。遺物を集めて、彼らの暮らしを真似しているのです。
furniture_classes-30000036,
furniture_classes-10000500,人形の思い出話
furniture_classes-20000500,人形たちの様々なイベントで手に入る記念品。お互いのものや、指揮官のものと色々だが、どれも永遠にメンタルモデルに記録される貴重な思い出。//n
furniture_classes-30000500,
furniture_classes-10000037,大図書館
furniture_classes-20000037,大図書館がテーマの家具セット。グリフィンの秘密の読書クラブのドアが開かれました。ここには人間が残した格言に対する人形たちの貴重な感想が記録されています！
furniture_classes-30000037,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000038,深夜食堂
furniture_classes-20000038,食堂がテーマの家具セット。人形たちはここへ連れ立ってやって来て、あれやこれやして帰ります。後には心がほっこりするお話が残ることも……たまーにですけどね。
furniture_classes-30000038,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000039,ハロウィンタウン
furniture_classes-20000039,ハロウィンタウンがテーマの家具セット。見たいものを見終わったら、全力で逃げましょう。でなければ……いや、何も問題はありません、住み着いて慣れてしまえば。
furniture_classes-30000039,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000040,花房のお茶会
furniture_classes-20000040,原野の中の温室がテーマの家具セット。「愛されたいと願うときには、名もない花を愛しましょう。」
furniture_classes-30000040,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000041,キングステーラー
furniture_classes-20000041,キングステーラーがテーマの家具セット。任務を受けたら、それをきっちり遂行する。世界の平和を守るのはこんなに簡単なことなんだ。
furniture_classes-30000041,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000042,トップガン
furniture_classes-20000042,航空機がテーマの家具セット。私たちが空を征服しようと試みて以来、互いの戦いがずっと続いている。ここにあるのは、そのすべての記録。
furniture_classes-30000042,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000043,給料日
furniture_classes-20000043,地下銀行がテーマの家具セット。すべては飾り、一銭も持たない人形でもここでいられる。ただし長く居られないでください、本気にしちゃうから。
furniture_classes-30000043,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000044,クリスマス小部屋
furniture_classes-20000044,クリスマスの部屋がテーマの家具セット。異国風景が溢れるこの小屋で、仲間とクリスマスの暖かさを味わうがいい！
furniture_classes-30000044,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000045,海賊の秘宝
furniture_classes-20000045,海賊船がテーマの家具セット。何百年前の物語、その人たちが流れの中で楽しむ、戦って生き残る、破れて死ぬ、今の人と同じ。
furniture_classes-30000045,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000046,ドットの森
furniture_classes-20000046,ドットの森がテーマの家具セット。膨大な冒険を始まりましょう！子供遊びでも構いません！子供って一番羨ましいじゃないですか？
furniture_classes-30000046,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000047,自転車日記
furniture_classes-20000047,自転車とバイクがテーマの家具セット。誰しも遠くに旅したいと思う瞬間がある、歌以外、こいつらも必要じゃない？もちろん、彼らを買う金もね。
furniture_classes-30000047,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000048,極北の過去
furniture_classes-20000048,極東の新年がテーマの家具セット。遠い昔、生活のすべてが新年のためにある人々がいた。だから楽しもう、まだ年寄りなる前に。
furniture_classes-30000048,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000049,部隊コレクション
furniture_classes-20000049,オタクのコレクションがテーマの家具セット。コアなコレクションでも、可愛いコレクションでも、これらは全て君の唯一無二の趣味で、人生の大事な一部分だ。
furniture_classes-30000049,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000050,ウェディング撮影
furniture_classes-20000050,ウェディング撮影がテーマの家具セット。見ての通り、ただの撮影現場なんだけど……撮影、儀式、生活、どれが真実なんだろう？
furniture_classes-30000050,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000052,鯉や鳥と戯れ
furniture_classes-20000052,民俗庭がテーマの家具セット。閑雅な庭園で楽しんでください、そんな夜が安くない。
furniture_classes-30000052,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000053,同人誌即売会
furniture_classes-20000053,即売会がテーマの家具セット。人形がもし50年はやく世に出てたらどうなるでしょうか？それを集めたらわかる。
furniture_classes-30000053,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000054,サタデー・ナイト・フィーバー
furniture_classes-20000054,2周年記念がテーマの家具セット。祝うのは今夜と限らない、明日もいけます。でも明日は私たちはどこにあるのだろう？
furniture_classes-30000054,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000055,テーマパークの惑星
furniture_classes-20000055,アミューズメントパックがテーマの家具セット。安っぽいポップコーンと簡単のスリルが人々を喜ばせる、ただし、あなたがそれを楽しむ前提として。
furniture_classes-30000055,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000056,南洋の小館
furniture_classes-20000056,南洋の旅館がテーマの家具セット。このようなホテルで目を覚ます、普段と変わる居心地のいい朝を楽しむ。
furniture_classes-30000056,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000057,ターミナル
furniture_classes-20000057,ターミナルがテーマの家具セット。出発前の時間を大切に過ごそう、まもなく遠くなるから－－物理的に
furniture_classes-30000057,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000058,ビーチタイクーン
furniture_classes-20000058,砂浜の施設がテーマの家具セット。海は確かにキレイだ、それでも人間をあらゆる方法で海を改造する。だから娯楽は調味料のように、本当に何か欲しいなのかよくわからない。
furniture_classes-30000058,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000059,ロックフェスティバル
furniture_classes-20000059,ロックフェスがテーマの家具セット。文明的かつ偽りだらけのインドア活動、喉開いてないヘビメタボーカルを歓迎しない。
furniture_classes-30000059,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000060,幽霊城
furniture_classes-20000060,古城がテーマの家具セット。一晩でいい、ここが気に入って欲しい、さもないと…永遠にここのいる。
furniture_classes-30000060,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000061,ハッピーバーガー
furniture_classes-20000061,バーガーショップがテーマの家具セット。気楽な環境と充実なカロリー、この時代の幸せの象徴であり。
furniture_classes-30000061,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000062,アイドル行動
furniture_classes-20000062,アイドルがテーマの家具セット。みんなに希望と夢と握手券を与える、みんなから現金を貰う。
furniture_classes-30000062,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000063,ナイト キャンディショップ
furniture_classes-20000063,キャンディの博物館がテーマの家具セット。クリスマスはキャンディとプレゼントの祭り、それを愛せ、だってほかにやる事がないから。
furniture_classes-30000063,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000064,新年の神社
furniture_classes-20000064,新年の神社がテーマの家具セット。年の終わりを告げる鐘の音が聞こえたら、晴れ着に着付けてもらって初詣に繰り出そう！幾千の騒々しい願い事に包まれながら、神様のアドバイスに耳を傾けてみては？
furniture_classes-30000064,揃えると宿舍内で思いもよらぬ現象が起こる。
